"variable","tlat","tlon","pop"
"aian",39.1736077634224,-101.028480593285,2247098
"asian",37.1558561884646,-100.814294887086,14465124
"black_afam",36.3341866363452,-86.5915338508412,37685848
"hipi",33.8515578008078,-123.744846015969,481576
"hisp",35.3223706248734,-99.0234392619306,50477594
"other",37.4624190835015,-97.3247653513972,6570746
"white",38.3255925221725,-90.4450195723524,196817552
