"variable","tlat","tlon","pop"
"aian",39.2739911589603,-101.541890687995,2251699
"asian",37.3110447974568,-99.5414229706287,19618719
"black",36.2827558944213,-86.7776677730976,39940338
"hipi",34.730894956431,-122.12766114527,622018
"hisp",35.4284201283652,-97.9901859498396,62080044
"other",37.6585049902521,-94.2914298325851,15238816
"white",38.2736544751493,-90.5340235184703,191697647
